,0
0,data_resize_all/9.7_a2e15ed8d209b46367771117af85557b.jpg
1,data_resize_all/5.5_2723_zeiger3_2020-06-14_12-15-54.jpg
2,data_resize_all/6.0_2928_analog4_20200815-210026.jpg
3,data_resize_all/1.3_b2ec01bb4eba162990f76e7973226416.jpg
4,data_resize_all/4.7_a568e4b4b59ef99bea090da242605601.jpg
5,data_resize_all/6.8_87067dea681dcb4c39dcff58663ad62b.jpg
6,data_resize_all/6.9_cd9c8efecb714713a8f85338085f5b71.jpg
7,data_resize_all/4.9_4.9.jpg
8,data_resize_all/4.3_2140_zeiger2_2019-09-14_12-40-12.jpg
9,data_resize_all/7.2_47756fe78ba7e662836e9ad4a1f968a4.jpg
10,data_resize_all/6.1_0471f80dc91854e8549435a96bdf5e01.jpg
11,data_resize_all/3.3_b6c8d6d745cb8d076b052f9fbc7f8ad7.jpg
12,data_resize_all/2.0_444225bfd5643b7aca728301be586060.jpg
13,data_resize_all/4.5_f311f8309d5d3e37634bdba27005b61d.jpg
14,data_resize_all/6.8_3420_zeiger4_2019-09-15_06-00-12.jpg
15,data_resize_all/0.9_0.8.jpg
16,data_resize_all/1.0_0382_analog2_20200819-122209.jpg
17,data_resize_all/6.2_bf779b6e10d44450dcc09d94857f3bf8.jpg
18,data_resize_all/9.1_4423_zeiger4_2019-06-03T183009.jpg
19,data_resize_all/2.3_525057225948a9c327d2496e4cc9bc81.jpg
20,data_resize_all/1.3_72a43afaa2ba0adf483c81cfca86aceb.jpg
21,data_resize_all/5.6_2dc3f2f1fee610ad878915c769112cef.jpg
22,data_resize_all/9.3_4613_zeiger4_2020-04-29_13-18-02.jpg
23,data_resize_all/6.9_f666dc97a4ca1b13ec98f34980d21734.jpg
24,data_resize_all/0.0_pointer_20211009-181429.jpg
25,data_resize_all/5.6_628319f087e15ba2b0815bdf2b7b685a.jpg
26,data_resize_all/1.4_80e43730e07e5b9502c4b2881bad93d5.jpg
27,data_resize_all/1.5_0ce3dca825124f04f02a648b41322651.jpg
28,data_resize_all/5.5_f02eb417fef6b298060a03a203691fb2.jpg
29,data_resize_all/0.9_0383_analog3_20200818-130925.jpg
30,data_resize_all/1.5_ana4_20220623-081159.jpg
31,data_resize_all/4.6_60885ed90b97eff521f03584105fdb48.jpg
32,data_resize_all/5.8_f0dbafc97ed915971cc02bf7d70bfa5b.jpg
33,data_resize_all/8.4_a3c2cbab4c8e8f001410cb13d4e438e9.jpg
34,data_resize_all/1.0_ana3_20220623-140701.jpg
