,0
0,data_resize_all/1.8_59bd7dbc42300b2db72875b0cbe857fb.jpg
1,data_resize_all/2.2_1091_zeiger4_2019-06-03T052009.jpg
2,data_resize_all/2.8_072d1b6c07e33cafd28944fdbc739861.jpg
3,data_resize_all/5.6_2dc3f2f1fee610ad878915c769112cef.jpg
4,data_resize_all/1.2_0525_zeiger3_2019-06-02T182009.jpg
5,data_resize_all/6.4_c0fa89df519f3e665d7778b437c7d493.jpg
6,data_resize_all/3.3_ed15a808f8ca200d417b948858e84f10.jpg
7,data_resize_all/4.3_35e6478a21e953d9ee5de53b14b72f18.jpg
8,data_resize_all/9.8_773cf78ad2d6c74f86b0ef92e8fa3825.jpg
9,data_resize_all/9.8_4926_zeiger2_2020-02-17_17-43-42.jpg
10,data_resize_all/3.3_3980a674547f16d77fb356a3f0df8fde.jpg
11,data_resize_all/7.2_d35bfb6c229f4eb76ac2c4029087a086.jpg
12,data_resize_all/2.3_4cd7838798b0a1a656fa5c1c5267339c.jpg
13,data_resize_all/4.6_2405_zeiger4_2019-11-19_01-42-03.jpg
14,data_resize_all/2.8_438af89d06cd9c63f95bbc4648ee1939.jpg
15,data_resize_all/7.2_47756fe78ba7e662836e9ad4a1f968a4.jpg
16,data_resize_all/7.8_20244588b67d3e8c4207203315e7dc95.jpg
17,data_resize_all/7.1_320bb2cebee1729c01bb32aeca8247db.jpg
18,data_resize_all/5.0_2520_zeiger4_2019-06-04T141009.jpg
19,data_resize_all/8.2_2560e7cf0bdfa2a1943f729b6279a4af.jpg
20,data_resize_all/3.1_c9694caec19e559c134a8b095e76746c.jpg
21,data_resize_all/9.8_adc4d1b3806051194924389d902c84fb.jpg
22,data_resize_all/3.3_255a032aa7766769794395f27dc8b42b.jpg
23,data_resize_all/9.8_166942e23d29eef618f47437c736d6d8.jpg
24,data_resize_all/0.9_analog2_20201005-212133.jpg
25,data_resize_all/1.8_4f925c0e4f43f9d0a81744217ad779b4.jpg
26,data_resize_all/5.0_95478a66b9d77f2306227f03eff0ec6d.jpg
27,data_resize_all/2.8_1a3e322cfec861e7b134512597db8b03.jpg
28,data_resize_all/6.8_52d5cd5bbc47b0cd2095cd4086fdb2e0.jpg
29,data_resize_all/1.6_dba0924086f044ef5fd4961ae34205c5.jpg
30,data_resize_all/2.8_c30648d48510d5219756c3d9176c073e.jpg
31,data_resize_all/8.2_4122_zeiger2_2020-06-14_08-33-40.jpg
32,data_resize_all/8.2_4042_zeiger3_2019-11-19_07-22-03.jpg
33,data_resize_all/3.3_1646_zeiger4_2020-04-29_12-15-02.jpg
34,data_resize_all/2.8_c935920d63548bb1cf8f1785db97a57d.jpg
35,data_resize_all/5.0_2b7c59781e936ee675e38b746f824e73.jpg
36,data_resize_all/2.4_5de927916e47736d1e7b56af3f29280c.jpg
37,data_resize_all/6.6_3353_zeiger3_2020-04-29_11-57-02.jpg
38,data_resize_all/2.9_1395_zeiger4_2020-04-29_14-30-02.jpg
39,data_resize_all/1.7_58c60aab12f9e811d30540ea527bb181.jpg
40,data_resize_all/6.8_3420_zeiger4_2019-09-15_06-00-12.jpg
41,data_resize_all/8.7_af9434b2952bd42b76bd9dc6402fb907.jpg
42,data_resize_all/0.2_c3af6af151a91351162ed03ca7fc984f.jpg
43,data_resize_all/6.8_6.7.jpg
44,data_resize_all/6.4_3293_zeiger2_2020-04-29_11-57-02.jpg
45,data_resize_all/3.4_pointer_20211014-221029.jpg
46,data_resize_all/9.8_a4646837ec0ef966cb615d0e83a80ff7.jpg
47,data_resize_all/8.1_e8cd5827f6d9cbb09b7004d294afae73.jpg
48,data_resize_all/1.8_22cae0da6ea3b4840332b9b6ae35b205.jpg
49,data_resize_all/8.1_4001_zeiger4_2019-06-02T105009.jpg
50,data_resize_all/5.6_ana1_20220817-100440.jpg
